space_error,speed_error,ego_speed,ego_acceleration,front_speed,front_acceleration,reward
27.8063725793299,0.773319682837201,3.3024584701628,0.374811716801858,4.075778153,0.496077467,13.1257259368594
27.9503093478584,0.795537985216146,3.33804311478385,0.393653445533762,4.1335811,0.578029472,14.1697476924462
27.9046489708121,0.818396364936494,3.38132013906351,0.457971013362862,4.199716504,0.661354033,15.2167985200922
27.9391137400564,0.832923863528525,3.44136752647147,0.492045784041046,4.27429139,0.745748859,16.264562897428
28.119230822685,0.871393750751102,3.4859400172489,0.506712892410103,4.357333768,0.830423786,17.3139050854425
28.2782058162221,0.912108087982119,3.53660245901788,0.503399840083783,4.448710547,0.913767791,18.3449711104422
28.3225260087161,0.959481642714046,3.58858042928595,0.525277526310662,4.548062072,0.993515248,19.3738085264238
28.3477245316715,1.0101341339773,3.6446351120227,0.556566290756595,4.654769246,1.067071738,19.4073728567785
28.2028107411679,0.965421918925728,3.68934732707427,0.692603191118365,4.654769246,1.067071738,20.4441325221067
28.6505993854547,1.10549932168852,3.78087028531148,0.710512353819608,4.886369607,1.184425953,21.4783810862445
28.8161465116003,1.17777276582633,3.83097785317367,0.728141695537554,5.008750619,1.223810112,22.4868079118245
28.8302688121845,1.20647273577672,3.92718948422328,0.757739245774367,5.13366222,1.249116017,23.4943643751225
28.6655916431102,1.15409844902638,3.97956377097362,0.745985492637407,5.13366222,1.249116017,24.500997428532
29.089856223238,1.30916829970162,4.07676176229838,0.75191614269219,5.385930062,1.261610103,25.5044123746432
29.249738517337,1.35999278659924,4.15129366740076,0.747712089817202,5.511286454,1.253563919,26.4826595890069
29.3875290210985,1.41723913457315,4.21806450442685,0.737597968577713,5.635303639,1.240171855,27.4579748317771
29.5862677323744,1.45763612359596,4.30010033540404,0.839625535068969,5.757736459,1.224328193,28.4426713834061
29.8053240044226,1.49573032194974,4.38286398705026,0.822955503295811,5.878594309,1.208578503,29.4234454473506
29.8446347932664,1.53335906335262,4.46474373164738,0.813333012046209,5.998102795,1.195084862,0.393835608051429
30.1038427455904,1.57257835728328,4.54403823571672,0.789892868761756,6.116616593,1.185137976,0.392808724650279
30.3369051956842,1.61903178558359,4.61551187341641,0.787934700259254,6.234543659,1.179270668,0.403855841025618
30.4348123945791,1.66045951496829,4.69182801003171,0.754684855095619,6.352287525,1.177438657,0.415272633824046
30.7047539557465,1.71026627836772,4.75994361563228,0.753139474913545,6.470209894,1.179223685,0.422312011843552
30.7849494025549,1.74897389540563,4.83963830159437,0.574592375678432,6.588612197,1.184023033,0.419702713189809
30.8917937743453,1.81380980914025,4.89392272785975,0.618318883356345,6.707732537,1.191203406,0.416441684011595
31.2156880807373,1.87406527763337,4.95368824336663,0.707123124469933,6.827753521,1.200209836,0.412712169906273
31.3070540090338,1.9049865782466,5.0438447367534,0.784304360195775,6.948831315,1.210777943,0.409500425876104
31.6688560783727,1.95407485675459,5.11704382224541,0.834917732241842,7.071118679,1.222873639,0.403125862250343
31.8495293321028,2.01007153971844,5.18470939028156,0.852781683899689,7.19478093,1.236622506,0.401872151992712
31.9548243908434,2.03247782011586,5.28752828788414,0.860421722056264,7.320006108,1.252251782,0.406691394875557
32.1760568693607,2.08199554783912,5.36500916816088,0.863256745580587,7.447004716,1.26998608,0.417396343163591
32.3254826282243,2.11581201012275,5.46018306887725,0.865691971596858,7.575995079,1.289903627,0.434900707075329
32.6435337085491,2.16043512868034,5.54673702431966,0.86550198921733,7.707172153,1.311770737,0.457454200362799
32.9276832122531,2.21669710203886,5.62396339796114,0.845446880368157,7.8406605,1.334883473,0.48187135898814
33.2320570081464,2.27649481680996,5.69996097019004,0.843936539891789,7.976455787,1.357952872,0.507090997802312
33.18763219251,2.30475671691156,5.80960590308844,0.843677569607854,8.11436262,1.379068325,0.531740449655457
33.5365944946211,2.3684770140248,5.8855224669752,0.843538229901538,8.253999481,1.396368617,0.553065265202703
33.8252395084988,2.41650681556495,5.97829372643505,0.843302905749534,8.394800542,1.408010605,0.531733175996997
34.1575894389719,2.49026190314127,6.04573611385873,0.843136833663362,8.535998017,1.411974755,0.490031489300087
34.3532546253837,2.52930929696722,6.14736143103278,0.861462109212921,8.676670728,1.406727103,0.459661073666474
34.5885863422069,2.58983107166859,6.22598330833141,0.886024556483194,8.81581438,1.391436518,0.432125408276088
34.7708257629987,2.625211034744,6.327207336256,0.948522779857865,8.952418371,1.366039919,0.405092883454016
35.2494670816787,2.66103621400273,6.42449470699727,0.992125081732003,9.085530921,1.331125497,0.345008457025903
35.343539332507,2.67929110809832,6.53500534690168,1.01138862276812,9.214296455,1.287655336,0.279922158878304
35.6663278492502,2.72159278396552,6.61636336203448,1.02075690759485,9.337956146,1.236596915,0.215607477167179
36.1424278416593,2.74746687046885,6.70834537653116,1.02453368885525,9.455812247,1.178561008,0.153158371160299
36.3714694534086,2.75614464431879,6.81101339868121,1.02688226751942,9.567158043,1.113457965,0.187447569411469
36.7524522071316,2.76782330184735,6.90341001015265,1.02668596556368,9.671233312,1.040752681,0.224412246016239
36.760578820281,2.74061097505227,7.02658226694773,1.02634546880839,9.767193242,0.959599305,0.246962654553556
37.1792335137893,2.73516049616526,7.11892525183474,1.02603123365685,9.854085748,0.868925061,0.250941025273948
37.4857288796749,2.70935732740322,7.22151005459678,1.02576232672316,9.930867382,0.767816333,0.25730045528221
37.5550197677534,2.65188382134126,7.34457118965874,1.02540577588545,9.996455011,0.655876293,0.372322294771625
37.9481819311504,2.62322520069522,7.42657803930478,1.02514047823045,10.04980324,0.533482326,0.487824641664395
38.4263382200752,2.56198886489262,7.52800441510738,1.00131617464961,10.08999328,0.401900406,0.607185889268682
38.5427942719692,2.47924172930695,7.63707629069305,0.980313058670482,10.11631802,0.263247396,0.731107688902068
38.8437562313157,2.40458044538627,7.72376982461373,0.955567913089686,10.12835027,0.120322475,0.858498948071341
38.9859595691984,2.28753857673401,7.83836650326599,0.954905139107592,10.12590508,-0.024451891,0.989063515861238
39.103096987861,2.19427802598086,7.91474593401914,0.954696973375037,10.10902396,-0.168811185,1.12289967185771
39.3845662870713,2.04868721351691,8.02930248648309,0.954333617937428,10.0779897,-0.310342608,1.25975969721225
39.7113668449563,1.92765445410861,8.10559833589139,0.954081272438575,10.03325279,-0.447369153,1.39898533010641
39.8037536097412,1.75526684493478,8.22008472006522,0.953709389465242,9.975351565,-0.579012223,1.53937140621688
39.9345931835601,1.60850973251296,8.29633294648704,0.953433136330112,9.904842679,-0.705088861,1.68008210476319
40.0324868879686,1.40927013252136,8.41298764747864,1.00078151540173,9.82225778,-0.825848989,1.82126444379855
40.278856233226,1.23364651693849,8.49445115306151,1.02883823436772,9.72809767,-0.941601098,1.95422106864876
40.2633546909246,1.00108471069813,8.62178190930187,1.08636418705761,9.62286662,-1.052310502,2.07854045433476
40.5041909337471,0.797638153750031,8.70950157324997,1.10044423916674,9.507139727,-1.157268928,2.20174041461873
40.4907036296399,0.539817116733701,8.8417925462663,1.10540819949738,9.381609663,-1.255300643,2.32291091850453
40.7233601975354,0.316846188116418,8.93027256588358,1.10514647446042,9.247118754,-1.344909091,2.43993643977468
40.3987735809842,0.0308115809870397,9.07388728201296,1.10464638143954,9.104698863,-1.424198905,2.53012642904476
40.6383264275464,-0.183206696425566,9.13876137942557,1.07439608992718,8.955554683,-1.491441805,2.61186859211213
